#
#	OGMP Gene Names Database
#
#	IMPORTANT POINTS:
#	-----------------
#	A) This file is accessed by other programs. Be careful when modifying it.
#	B) Use a very wide window to view/modify this file.
#
#	DESCRIPTION:
#	------------
#	Each field is separated a vertical bar (|). Blanks surrounding each
#	bar are ignored. There must be exactly SIX fields per line.
#
#	Fields that are unset should contain a single "-".
#
#	The first field is a list of gene names separated by "=". The first
#	name is the official (prefered) name and all others are synonyms.
#	Case is not sensitive when matching names to the list, but when programs
#	use the prefered name they will use the exact spelling mentionned there.
#
#	last update:06_03_10 ; GB: 18dec2015
#
#
#	Mitochondria encoded genes
#                          |  Product   |
# Gene names               |  Type      |  Product name                                                          |  General function                                  |  Enzyme complex           |  E.C. number
#==========================|============|========================================================================|====================================================|===========================|=================
atp1=atpA                  | protein    | ATP synthase F1 subunit alpha                                          | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
nad11=nad-lsu              | protein    | NADH dehydrogenase subunit 11                                          | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad2                       | protein    | NADH dehydrogenase subunit 2                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad3                       | protein    | NADH dehydrogenase subunit 3                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad4                       | protein    | NADH dehydrogenase subunit 4                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad4L=ymf58                | protein    | NADH dehydrogenase subunit 4L                                          | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad5                       | protein    | NADH dehydrogenase subunit 5                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad6=ymf62                 | protein    | NADH dehydrogenase subunit 6                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad7                       | protein    | NADH dehydrogenase subunit 7                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad8=frxB                  | protein    | NADH dehydrogenase subunit 8                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad9=nad31kd               | protein    | NADH dehydrogenase subunit 9                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
rdrp                       | protein    | viral RNA-dependent RNA polymerase                                     | reverse transcription                              | -                         | -         
rnl=lrn=LSU                | rRNA       | large subunit ribosomal RNA                                            | translation                                        | ribosome                  | -         
rnpB                       | RNA        | ribonuclease P RNA                                                     | RNA processing                                     | ribonuclease P            | -         
rns=srn=SSU                | rRNA       | small subunit ribosomal RNA                                            | translation                                        | ribosome                  | -         
rpl1                       | protein    | ribosomal protein L1                                                   | translation                                        | ribosome                  | -         
rpl10                      | protein    | ribosomal protein L10                                                  | translation                                        | ribosome                  | -         
rpl11                      | protein    | ribosomal protein L11                                                  | translation                                        | ribosome                  | -         
rpl12                      | protein    | ribosomal protein L12                                                  | translation                                        | ribosome                  | -         
rpl13                      | protein    | ribosomal protein L13                                                  | translation                                        | ribosome                  | -         
rpl14                      | protein    | ribosomal protein L14                                                  | translation                                        | ribosome                  | -         
rpl15                      | protein    | ribosomal protein L15                                                  | translation                                        | ribosome                  | -         
rpl16                      | protein    | ribosomal protein L16                                                  | translation                                        | ribosome                  | -         
rpl17                      | protein    | ribosomal protein L17                                                  | translation                                        | ribosome                  | -         
rpl18                      | protein    | ribosomal protein L18                                                  | translation                                        | ribosome                  | -         
rpl19                      | protein    | ribosomal protein L19                                                  | translation                                        | ribosome                  | -         
rpl2                       | protein    | ribosomal protein L2                                                   | translation                                        | ribosome                  | -         
rpl20                      | protein    | ribosomal protein L20                                                  | translation                                        | ribosome                  | -         
rpl21                      | protein    | ribosomal protein L21                                                  | translation                                        | ribosome                  | -         
rpl22                      | protein    | ribosomal protein L22                                                  | translation                                        | ribosome                  | -         
rpl24                      | protein    | ribosomal protein L24                                                  | translation                                        | ribosome                  | -         
rpl27                      | protein    | ribosomal protein L27                                                  | translation                                        | ribosome                  | -         
rpl29                      | protein    | ribosomal protein L29                                                  | translation                                        | ribosome                  | -         
rpl3                       | protein    | ribosomal protein L3                                                   | translation                                        | ribosome                  | -         
rpl30                      | protein    | ribosomal protein L30                                                  | translation                                        | ribosome                  | -         
rpl31                      | protein    | ribosomal protein L31                                                  | translation                                        | ribosome                  | -         
rpl32                      | protein    | ribosomal protein L32                                                  | translation                                        | ribosome                  | -         
rpl33                      | protein    | ribosomal protein L33                                                  | translation                                        | ribosome                  | -         
rpl34                      | protein    | ribosomal protein L34                                                  | translation                                        | ribosome                  | -         
rpl35                      | protein    | ribosomal protein L35                                                  | translation                                        | ribosome                  | -         
rpl36                      | protein    | ribosomal protein L36                                                  | translation                                        | ribosome                  | -         
rpl4                       | protein    | ribosomal protein L4                                                   | translation                                        | ribosome                  | -         
rpl5                       | protein    | ribosomal protein L5                                                   | translation                                        | ribosome                  | -         
rpl6=ymf60                 | protein    | ribosomal protein L6                                                   | translation                                        | ribosome                  | -         
rpl7                       | protein    | ribosomal protein L7                                                   | translation                                        | ribosome                  | -         
rpl9                       | protein    | ribosomal protein L9                                                   | translation                                        | ribosome                  | -         
rpo                        | protein    | RNA polymerase (T3/T7 type)                                            | transcription                                      | RNA polymerase            | 2.7.7.6   
rpoA                       | protein    | RNA polymerase subunit alpha                                           | transcription                                      | RNA polymerase            | 2.7.7.6   
rpoB                       | protein    | RNA polymerase subunit beta                                            | transcription                                      | RNA polymerase            | 2.7.7.6   
rpoC                       | protein    | RNA polymerase subunit beta'                                           | -                                                  | -                         | -         
rpoD                       | protein    | sigma-like factor                                                      | transcription                                      | RNA polymerase            | 2.7.7.6   
rps1                       | protein    | ribosomal protein S1                                                   | translation                                        | ribosome                  | -         
rps10                      | protein    | ribosomal protein S10                                                  | translation                                        | ribosome                  | -         
rps11                      | protein    | ribosomal protein S11                                                  | translation                                        | ribosome                  | -         
rps12                      | protein    | ribosomal protein S12                                                  | translation                                        | ribosome                  | -         
rps13                      | protein    | ribosomal protein S13                                                  | translation                                        | ribosome                  | -         
rps14                      | protein    | ribosomal protein S14                                                  | translation                                        | ribosome                  | -         
rps15                      | protein    | ribosomal protein S15                                                  | translation                                        | ribosome                  | -         
rps16                      | protein    | ribosomal protein S16                                                  | translation                                        | ribosome                  | -         
rps17                      | protein    | ribosomal protein S17                                                  | translation                                        | ribosome                  | -         
rps18                      | protein    | ribosomal protein S18                                                  | translation                                        | ribosome                  | -         
rps19                      | protein    | ribosomal protein S19                                                  | translation                                        | ribosome                  | -         
rps2                       | protein    | ribosomal protein S2                                                   | translation                                        | ribosome                  | -         
rps20                      | protein    | ribosomal protein S20                                                  | translation                                        | ribosome                  | -         
rps3=var1                  | protein    | ribosomal protein S3                                                   | translation                                        | ribosome                  | -         
rps4                       | protein    | ribosomal protein S4                                                   | translation                                        | ribosome                  | -         
rps6                       | protein    | ribosomal protein S6                                                   | translation                                        | ribosome                  | -         
rps7                       | protein    | ribosomal protein S7                                                   | translation                                        | ribosome                  | -         
rps8                       | protein    | ribosomal protein S8                                                   | translation                                        | ribosome                  | -         
rps9                       | protein    | ribosomal protein S9                                                   | translation                                        | ribosome                  | -         
rrn5=5S=rrf                | rRNA       | 5S rRNA                                                                | translation                                        | ribosome                  | -         
rrnX                       | protein    | unknown ribosomal protein                                              | -                                                  | -                         | -         
rtl                        | protein    | reverse transcriptase                                                  | reverse transcription                              | -                         | 2.7.7.49  
sdh1                       | protein    | succinate dehydrogenase subunit 1                                      | electron transport                                 | respiratory complex II    | 1.3.5.1   
sdh2=sdhB                  | protein    | succinate dehydrogenase subunit 2                                      | electron transport                                 | respiratory complex II    | 1.3.5.1   
sdh3=sdhC                  | protein    | succinate dehydrogenase subunit 3                                      | electron transport                                 | respiratory complex II    | 1.3.5.1   
sdh4=sdhD                  | protein    | succinate dehydrogenase subunit 4                                      | electron transport                                 | respiratory complex II    | 1.3.5.1   
secY                       | protein    | SecY-type transporter protein                                          | transmembrane transport                            | -                         | -         
ssrA                       | RNA/cds    | tmRNA                                                                  | protein degradation                                | -                         | -         
tatA=mttA                  | protein    | Sec-independent protein translocase component tatA/E                   | protein transporter activity                       | -                         | -         
tatC=mttB=ymf16            | protein    | Sec-independent protein translocase component TatC                     | protein translocation                              | -                         | -         
trnA                       | tRNA       | transfer RNA Alanine                                                   | translation                                        | -                         | -         
trnA(cgc)=tRNA(ala,cgc)    | tRNA       | transfer RNA Alanine                                                   | translation                                        | -                         | -         
trnA(ggc)=tRNA(ala,ggc)    | tRNA       | transfer RNA Alanine                                                   | translation                                        | -                         | -         
trnA(ugc)=tRNA(ala,tgc)    | tRNA       | transfer RNA Alanine                                                   | translation                                        | -                         | -         
trnC                       | tRNA       | transfer RNA Cysteine                                                  | translation                                        | -                         | -         
trnC(gca)=tRNA(cys,gca)    | tRNA       | transfer RNA Cysteine                                                  | translation                                        | -                         | -         
trnD                       | tRNA       | transfer RNA Aspartic Acid                                             | translation                                        | -                         | -         
trnD(guc)tRNA(asp,gtc)     | tRNA       | transfer RNA Aspartic Acid                                             | translation                                        | -                         | -         
trnE                       | tRNA       | transfer RNA Glutamic Acid                                             | translation                                        | -                         | -         
trnE(uuc)=tRNA(glu,ttc)    | tRNA       | transfer RNA Glutamic Acid                                             | translation                                        | -                         | -         
trnF                       | tRNA       | transfer RNA Phenylalanine                                             | translation                                        | -                         | -         
trnF(aaa)=tRNA(phe,aaa)    | tRNA       | transfer RNA Phenylalanine                                             | translation                                        | -                         | -         
trnF(gaa)=tRNA(phe,gaa)    | tRNA       | transfer RNA Phenylalanine                                             | translation                                        | -                         | -         
trnG                       | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnG(acc)=tRNA(gly,acc)    | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnG(ccc)=tRNA(gly,ccc)    | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnG(gcc)=tRNA(gly,gcc)    | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnG(ucc)=tRNA(gly,tcc)    | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnG(ucu)=tRNA(gly,tct)    | tRNA       | transfer RNA Glycine                                                   | translation                                        | -                         | -         
trnH                       | tRNA       | transfer RNA Histidine                                                 | translation                                        | -                         | -         
trnH(aug)=tRNA(his,atg)    | tRNA       | transfer RNA Histidine                                                 | translation                                        | -                         | -         
trnH(gug)=tRNA(his,gtg)    | tRNA       | transfer RNA Histidine                                                 | translation                                        | -                         | -         
trnI                       | tRNA       | transfer RNA Isoleucine                                                | translation                                        | -                         | -         
trnI(aau)=tRNA(ile,aat)    | tRNA       | transfer RNA Isoleucine                                                | translation                                        | -                         | -         
trnI(cau)=tRNA(ile,cat)    | tRNA       | transfer RNA Isoleucine                                                | translation                                        | -                         | -         
trnI(gau)=tRNA(ile,gat)    | tRNA       | transfer RNA Isoleucine                                                | translation                                        | -                         | -         
trnI(uau)=tRNA(ile,tat)    | tRNA       | transfer RNA Isoleucine                                                | translation                                        | -                         | -         
trnK                       | tRNA       | transfer RNA Lysine                                                    | translation                                        | -                         | -         
trnK(cuu)=tRNA(lys,ctt)    | tRNA       | transfer RNA Lysine                                                    | translation                                        | -                         | -         
trnK(uuu)=tRNA(lys,ttt)    | tRNA       | transfer RNA Lysine                                                    | translation                                        | -                         | -         
trnL                       | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(aag)=tRNA(leu,aag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(caa)=tRNA(leu,caa)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(cag)=tRNA(leu,cag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(cua)=tRNA(leu,ctg)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(cun)=tRNA(leu,ctn)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(gag)=tRNA(leu,gag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(Nag)=tRNA(leu,Nag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(uaa)=tRNA(leu,taa)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(uag)=tRNA(leu,tag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(uur)=tRNA(leu,ttr)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnL(Wag)=tRNA(leu,Wag)    | tRNA       | transfer RNA Leucine                                                   | translation                                        | -                         | -         
trnM                       | tRNA       | transfer RNA Methionine                                                | translation                                        | -                         | -         
trnM(cau)=tRNA(met,cat)    | tRNA       | transfer RNA Methionine                                                | translation                                        | -                         | -         
trnM(cau)e=trnMe(cau)      | tRNA       | transfer RNA Methionine                                                | translation                                        | -                         | -         
trnM(cau)f=trnMf(cau)      | tRNA       | transfer RNA Methionine                                                | translation                                        | -                         | -         
trnM(uau)=tRNA(met,tat)    | tRNA       | transfer RNA Methionine                                                | translation                                        | -                         | -         
trnN                       | tRNA       | transfer RNA Asparagine                                                | translation                                        | -                         | -         
trnN(auu)=tRNA(asn,att)    | tRNA       | transfer RNA Asparagine                                                | translation                                        | -                         | -         
trnN(guu)=tRNA(asn,gtt)    | tRNA       | transfer RNA Asparagine                                                | translation                                        | -                         | -         
trnP                       | tRNA       | transfer RNA Proline                                                   | translation                                        | -                         | -         
trnP(agg)=tRNA(pro,agg)    | tRNA       | transfer RNA Proline                                                   | translation                                        | -                         | -         
trnP(cgg)=tRNA(pro,cgg)    | tRNA       | transfer RNA Proline                                                   | translation                                        | -                         | -         
trnP(ggg)=tRNA(pro,ggg)    | tRNA       | transfer RNA Proline                                                   | translation                                        | -                         | -         
trnP(ugg)=tRNA(pro,tgg)    | tRNA       | transfer RNA Proline                                                   | translation                                        | -                         | -         
trnQ                       | tRNA       | transfer RNA Glutamine                                                 | translation                                        | -                         | -         
trnQ(cug)=tRNA(gln,ctg)    | tRNA       | transfer RNA Glutamine                                                 | translation                                        | -                         | -         
trnQ(uug)=tRNA(gln,ttg)    | tRNA       | transfer RNA Glutamine                                                 | translation                                        | -                         | -         
trnR                       | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(acg)=tRNA(arg,acg)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(ccg)=tRNA(arg,ccg)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(ccu)=tRNA(arg,cct)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(gcg)=tRNA(arg,gcg)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(ucg)=tRNA(arg,tcg)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnR(ucu)=tRNA(arg,tct)    | tRNA       | transfer RNA Arginine                                                  | translation                                        | -                         | -         
trnS                       | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(acu)=tRNA(ser,act)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(agy)=tRNA(ser,agy)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(cga)=tRNA(ser,cga)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(gcu)=tRNA(ser,gct)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(gga)=tRNA(ser,gga)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(ucn)=tRNA(ser,tcn)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(ucu)=tRNA(ser,tct)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnS(uga)=tRNA(ser,act)    | tRNA       | transfer RNA Serine                                                    | translation                                        | -                         | -         
trnT                       | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(agu)=tRNA(thr,agt)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(cag)=tRNA(thr,cag)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(ggu)=tRNA(thr,ggt)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(uag)=tRNA(thr,tag)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(ugc)=tRNA(thr,tgc)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnT(ugu)=tRNA(thr,tgt)    | tRNA       | transfer RNA Threonine                                                 | translation                                        | -                         | -         
trnU                       | tRNA       | transfer RNA selenocysteine                                            | translation                                        | -                         | -         
trnV                       | tRNA       | transfer RNA Valine                                                    | translation                                        | -                         | -         
trnV(aac)=tRNA(val,aac)    | tRNA       | transfer RNA Valine                                                    | translation                                        | -                         | -         
trnV(cac)=tRNA(val,cac)    | tRNA       | transfer RNA Valine                                                    | translation                                        | -                         | -         
trnV(gac)=tRNA(val,gac)    | tRNA       | transfer RNA Valine                                                    | translation                                        | -                         | -         
trnV(uac)=tRNA(val,tac)    | tRNA       | transfer RNA Valine                                                    | translation                                        | -                         | -         
trnW                       | tRNA       | transfer RNA Tryptophan                                                | translation                                        | -                         | -         
trnW(cca)=tRNA(trp,cca)    | tRNA       | transfer RNA Tryptophan                                                | translation                                        | -                         | -         
trnW(uca)=tRNA(trp,tca)    | tRNA       | transfer RNA Tryptophan                                                | translation                                        | -                         | -         
trnX                       | tRNA       | transfer RNA (type/anticodon unknown)                                  | translation                                        | -                         | -         
trnY                       | tRNA       | transfer RNA Tyrosine                                                  | translation                                        | -                         | -         
trnY(aua)=tRNA(tyr,ata)    | tRNA       | transfer RNA Tyrosine                                                  | translation                                        | -                         | -         
trnY(gua)=tRNA(tyr,gta)    | tRNA       | transfer RNA Tyrosine                                                  | translation                                        | -                         | -         
tufA                       | protein    | translation elongation factor Tu                                       | translation                                        | -                         | -         
y1                         | protein    | Y1                                                                     | -                                                  | -                         | -         
y2                         | protein    | Y2                                                                     | -                                                  | -                         | -         
y3                         | protein    | Y3                                                                     | -                                                  | -                         | -         
y4                         | protein    | Y4                                                                     | -                                                  | -                         | -         
y5                         | protein    | Y5                                                                     | -                                                  | -                         | -         
y6                         | -          | Y6                                                                     | -                                                  | -                         | -         
x12                        | -          | X12                                                                    | -                                                  | -                         | -         
x18                        | -          | X18                                                                    | -                                                  | -                         | -         


#
#	Chloroplast encoded genes
#
#
#                          |  Product   |
# Gene names               |  Type      |  Product name                                                          |  General function                                  |  Enzyme complex           |  E.C. number
#==========================|============|========================================================================|====================================================|===========================|=================
aat                        | protein    | Aspartate aminotransferase isozyme 5                                   | -                                                  | -                         | -         
accA                       | protein    | acetyl-CoA carboxylase, carboxyl transferase subunit alpha             | unknown                                            | -                         | 6.4.1.2   
accB                       | protein    | acetyl-CoA carboxylase, biotin carboxyl carrier protein                | unknown                                            | -                         | 6.4.1.2   
accD=ycf11                 | protein    | acetyl-CoA carboxylase, carboxyl transferase subunit beta              | unknown                                            | -                         | 6.4.1.2   
acpP=acpA                  | protein    | acyl carrier protein                                                   | protein translocation                              | -                         | -         
acsF=ycf59                 | protein    | Mg-protoporphyrin IX monomethyl ester oxidative cyclase                | unknown                                            | -                         | -         
apcA                       | protein    | allophycocyanin alpha subunit                                          | photosynthesis                                     | -                         | -         
apcB                       | protein    | allophycocyanin beta subunit                                           | photosynthesis                                     | -                         | -         
apcD                       | protein    | allophycocyanin gamma subunit                                          | photosynthesis                                     | -                         | -         
apcE                       | protein    | phycobilisome linker polypeptide                                       | photosynthesis                                     | -                         | -         
apcF                       | protein    | allophycocyanin beta 18 subunit                                        | photosynthesis                                     | -                         | -         
argB                       | protein    | acetylglutamate kinase                                                 | biosynthesis other than photosynthesis             | -                         | 2.7.2.8   
aroC                       | protein    | Chorismate synthase                                                    | biosynthesis other than photosynthesis             | -                         | 4.2.3.5   
atpA                       | protein    | ATP synthase CF1 subunit alpha                                         | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpB                       | protein    | ATP synthase CF1 subunit beta                                          | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpC                       | protein    | ATP synthase CF1 subunit gamma                                         | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpD                       | protein    | ATP synthase CF1 subunit delta                                         | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpE                       | protein    | ATP synthase CF1 subunit epsilon                                       | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpF                       | protein    | ATP synthase CF0 subunit I                                             | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpG                       | protein    | ATP synthase CF0 subunit II                                            | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpH                       | protein    | ATP synthase CF0 subunit III                                           | biosynthesis other than photosynthesis             | ATP synthase              | 3.6.3.14  
atpI                       | protein    | ATP synthase CF0 subunit IV                                            | transport of metabolites and ions                  | ATP synthase              | 3.6.3.14  
bas1=ycf42                 | protein    | 2-Cys peroxiredoxin                                                    | antioxidation                                      | -                         | -         
carA                       | protein    | carbamoyl phosphate synthase small subunit                             | biosynthesis other than photosynthesis             | -                         | 6.3.5.5   
cbbC                       | protein    | protein of unknown function                                            | unknown                                            | -                         | -         
cbbQ                       | protein    | protein of unknown function                                            | unknown                                            | -                         | -         
cbbX=cfxQ                  | protein    | Rubisco expression protein                                             | unknown                                            | -                         | -         
ccs1=ccsB=ycf44            | protein    | Cytochrome c biogenesis protein                                        | haem biosynthesis                                  | -                         | -         
ccsA=ycf5                  | protein    | heme attachment to plastid cytochrome c                                | biosynthesis other than photosynthesis             | -                         | -         
cemA=ycf10=hbp             | protein    | envelope membrane protein                                              | transport of metabolites and ions                  | -                         | -         
chlB                       | protein    | protochlorophyllide reductase subunit B                                | photosynthesis                                     | -                         | 1.3.1.33  
chlI                       | protein    | Mg chelatase subunit e                                                 | photosynthesis                                     | -                         | -         
chlL=frxC=gidB             | protein    | protochlorophyllide reductase iron protein subunit                     | unknown                                            | -                         | 1.3.1.33  
chlN=gidA                  | protein    | protochlorophyllide reductase subunit N                                | photosynthesis                                     | -                         | 1.3.1.33  
clpC                       | protein    | Clp protease ATP binding subunit                                       | protein degradation                                | -                         | 3.4.21.92 
clpP                       | protein    | Clp protease proteolytic subunit                                       | protein degradation                                | -                         | 3.4.21.92 
cobA                       | protein    | uroporphyrin-III C-methyltransferase                                   | translocation                                      | -                         | 2.1.1.107 
cpcA=pcyA                  | protein    | phycocyanin alpha subunit                                              | photosynthesis                                     | -                         | -         
cpcB=pcyB                  | protein    | phycocyanin beta subunit                                               | photosynthesis                                     | -                         | -         
